date,open,high,low,close,volume
2025-06-24,101420.71,101453.35,99613.33,100692.1,2500.92801
2025-06-24,100692.1,102690.0,100500.22,102484.02,2504.13624
2025-06-24,102484.02,103300.0,102387.72,102933.78,1726.1708
2025-06-24,102933.77,103230.76,102676.94,103161.29,765.13745
2025-06-24,103161.3,103915.5,102880.0,103739.99,1393.77246
2025-06-24,103740.0,104214.28,103624.19,103705.52,1054.87886
2025-06-24,103705.52,106074.2,103697.06,105538.19,4047.63551
2025-06-24,105538.17,105665.05,105115.65,105333.93,1255.36828
2025-06-24,105333.94,105500.0,104909.69,105132.59,875.43152
2025-06-24,105132.59,105499.99,104966.99,105450.76,601.29109
2025-06-24,105450.75,105450.75,104729.69,104753.8,857.70174
2025-06-24,104753.8,105127.94,104720.82,104919.6,547.71821
2025-06-24,104919.6,104959.24,104704.91,104826.14,328.91534
2025-06-24,104826.13,105426.48,104826.13,105396.54,800.95842
2025-06-24,105396.54,105811.0,105244.84,105655.23,1003.25722
2025-06-24,105655.23,105777.0,104900.0,104933.74,1025.84889
2025-06-24,104933.74,105167.24,104622.02,104996.77,869.69249
2025-06-24,104996.78,105571.4,104968.25,105198.98,541.75908
2025-06-24,105198.99,105351.0,105069.23,105281.99,340.65394
2025-06-24,105281.98,105428.03,105001.6,105170.0,464.75889
2025-06-24,105169.99,105306.54,104968.43,105205.47,430.49812
2025-06-24,105205.47,105390.27,104800.98,105065.44,899.11622
2025-06-24,105065.45,105665.52,104950.8,105517.5,910.70771
2025-06-24,105517.5,105731.92,105153.01,105244.73,693.40867
2025-06-25,105244.72,106268.0,105172.64,106225.26,1025.54114
2025-06-25,106225.25,106290.0,105609.8,106046.69,688.95518
2025-06-25,106046.69,106088.96,105523.8,105533.73,334.55603
2025-06-25,105533.73,105677.82,105270.48,105643.19,317.34852
2025-06-25,105643.2,106098.0,105435.45,106087.3,303.1649
2025-06-25,106087.3,106119.11,105729.95,105989.05,323.30084
2025-06-25,105989.04,106025.92,105734.38,106025.39,215.34353
2025-06-25,106025.39,106083.0,105774.9,106083.0,251.76566
2025-06-25,106083.0,106470.21,105808.03,106407.34,592.29341
2025-06-25,106407.34,106616.01,106016.0,106387.43,631.33414
2025-06-25,106387.42,106791.18,106300.0,106474.58,835.01863
2025-06-25,106474.58,106599.9,106216.62,106232.01,326.44832
2025-06-25,106232.01,106308.89,106001.0,106197.56,412.73706
2025-06-25,106197.55,106396.61,106037.14,106213.72,356.85468
2025-06-25,106213.72,106461.04,106125.05,106399.99,265.13494
2025-06-25,106400.0,106702.0,106321.25,106600.01,282.89666
2025-06-25,106600.0,106663.24,106343.13,106635.76,311.52266
2025-06-25,106635.76,106971.91,106449.61,106628.06,622.78256
2025-06-25,106628.05,107184.68,106567.38,107126.49,814.12848
2025-06-25,107126.5,107237.44,106866.9,107198.02,524.38199
2025-06-25,107198.02,107300.0,106927.8,107240.0,638.76405
2025-06-25,107240.0,108130.24,107172.87,107923.21,2185.64353
2025-06-25,107923.22,108135.3,107226.94,107629.59,2426.55627
2025-06-25,107629.58,107638.0,106752.36,107028.0,2246.03929
2025-06-26,107027.99,107490.75,106989.03,107139.81,647.37905
2025-06-26,107139.81,107529.35,106931.0,107402.53,416.2053
2025-06-26,107402.54,107523.9,107177.52,107406.63,346.45173
2025-06-26,107406.62,107905.37,107394.97,107761.68,699.65838
2025-06-26,107761.67,107859.33,107500.0,107781.2,280.92154
2025-06-26,107781.2,108000.0,107444.57,107569.67,358.92205
2025-06-26,107569.67,107569.68,107215.0,107275.01,222.01581
2025-06-26,107275.01,107375.01,107079.9,107340.58,257.06498
2025-06-26,107340.59,107623.52,107252.21,107320.0,388.09743
2025-06-26,107320.0,107900.0,107105.43,107638.01,438.8069
2025-06-26,107638.01,108039.05,107562.4,107920.47,511.55605
2025-06-26,107920.47,108272.45,107783.69,107853.79,558.37668
2025-06-26,107853.79,107953.27,107692.64,107845.41,326.06452
2025-06-26,107845.4,107845.4,107520.0,107632.09,213.1355
2025-06-26,107632.09,107813.57,107553.11,107761.5,239.49288
2025-06-26,107761.5,108085.92,107751.3,107813.99,512.12581
2025-06-26,107813.99,108174.86,107709.38,107753.07,504.11053
2025-06-26,107753.07,107786.53,107275.63,107325.12,744.20067
2025-06-26,107325.13,107468.94,107240.0,107389.01,348.76501
2025-06-26,107389.0,107403.02,107117.65,107325.41,413.36685
2025-06-26,107325.42,107421.57,107033.33,107122.48,385.28934
2025-06-26,107122.47,107348.52,106817.64,106960.01,798.08785
2025-06-26,106960.01,107765.55,106884.31,107436.6,711.91004
2025-06-26,107436.6,107515.5,106562.5,107313.6,727.84181
2025-06-27,107313.61,107410.94,107009.28,107196.05,326.30789
2025-06-27,107196.06,107442.84,107145.38,107192.99,275.62731
2025-06-27,107192.99,107580.0,107137.03,107384.1,289.91325
2025-06-27,107384.11,107669.74,107328.0,107532.98,360.79815
2025-06-27,107532.97,108000.0,107451.95,107766.29,497.91662
2025-06-27,107766.3,107799.99,106850.0,107029.6,462.11523
2025-06-27,107029.59,107235.29,106961.94,106992.59,243.89497
2025-06-27,106992.59,107063.05,106865.56,106947.06,295.4715
2025-06-27,106947.06,107179.8,106650.26,106675.22,332.61058
2025-06-27,106675.21,107229.95,106438.33,107122.81,490.44969
2025-06-27,107122.8,107300.0,107062.42,107253.6,277.3313
2025-06-27,107253.59,107515.28,107168.79,107477.76,371.91271
2025-06-27,107477.76,107568.68,107360.65,107497.06,282.76941
2025-06-27,107497.07,107550.0,107267.73,107267.74,285.13466
2025-06-27,107267.73,107385.24,107202.67,107278.82,187.40893
2025-06-27,107278.82,107735.34,106850.0,106869.71,1190.74662
2025-06-27,106869.72,107087.85,106679.98,106998.53,756.49658
2025-06-27,106998.54,107137.64,106786.47,107083.8,1011.48795
2025-06-27,107083.81,107159.95,106953.02,106995.32,328.42336
2025-06-27,106995.33,107147.83,106921.66,106983.6,221.66755
2025-06-27,106983.6,107200.0,106601.64,106692.9,489.40703
2025-06-27,106692.89,106982.4,106356.76,106820.99,613.57127
2025-06-27,106821.0,107105.43,106370.44,106557.79,2106.24243
2025-06-27,106557.79,107407.14,106485.37,107308.25,495.30793
2025-06-28,107308.25,107709.22,107094.03,107480.1,678.72532
2025-06-28,107480.1,107497.16,106477.34,106875.75,501.2309
2025-06-28,106875.75,107000.0,106446.45,106704.6,440.83658
2025-06-28,106704.6,107020.66,106594.1,106801.02,366.69076
2025-06-28,106801.02,107130.36,106794.33,107119.5,254.52948
2025-06-28,107119.5,107277.99,107038.54,107052.01,231.16317
2025-06-28,107052.01,107190.21,107052.01,107100.7,148.83751
2025-06-28,107100.7,107171.23,106961.7,107047.59,169.4587
2025-06-28,107047.58,107176.68,106847.59,107064.19,284.90876
2025-06-28,107064.2,107129.33,106811.51,107066.19,193.38505
2025-06-28,107066.19,107200.0,107015.7,107110.0,154.46239
2025-06-28,107110.01,107347.1,107080.27,107300.13,142.29084
2025-06-28,107300.13,107310.9,107183.29,107191.19,92.66137
2025-06-28,107191.2,107317.0,107185.32,107294.8,127.55204
2025-06-28,107294.81,107449.07,107294.8,107412.07,119.62237
2025-06-28,107412.07,107496.12,107400.68,107485.0,157.78581
2025-06-28,107485.01,107493.07,107347.85,107379.99,100.63716
2025-06-28,107380.0,107380.0,107275.0,107307.99,109.33753
2025-06-28,107308.0,107376.89,107252.6,107274.41,117.47879
2025-06-28,107274.41,107373.4,107270.37,107373.39,88.84492
2025-06-28,107373.39,107373.4,107292.44,107341.34,109.02275
2025-06-28,107341.34,107354.82,107084.15,107101.78,222.67132
2025-06-28,107101.79,107258.35,107101.78,107204.8,128.87426
2025-06-28,107204.81,107577.75,107190.21,107449.28,254.30559
2025-06-29,107449.28,107520.32,107253.22,107295.84,215.26558
2025-06-29,107295.85,107542.5,107295.13,107465.12,116.29548
2025-06-29,107465.13,107465.13,107260.64,107318.0,97.82363
2025-06-29,107318.0,107339.38,107225.74,107225.74,69.70492
2025-06-29,107225.74,107235.4,107154.62,107169.52,80.40679
2025-06-29,107169.52,107347.65,107169.52,107331.38,82.17435
2025-06-29,107331.37,107378.37,107257.09,107370.61,141.59714
2025-06-29,107370.61,107370.62,107282.72,107296.79,75.06468
2025-06-29,107296.79,107500.0,107254.16,107475.92,216.23676
2025-06-29,107475.91,107475.92,107310.53,107311.0,101.25733
2025-06-29,107311.0,107355.06,107172.52,107307.48,143.34108
2025-06-29,107307.47,107307.48,107189.86,107210.78,73.19936
2025-06-29,107210.78,107272.77,107210.77,107264.15,55.66311
